asset,signal_time,entry_time,exit_time,side,signal_module,entry_cluster,entry_price,exit_price,take_profit_price,stop_loss_price,exit_reason,bars_held,gross_return,net_return,cost_return,gross_pnl_currency,net_pnl_currency,cost_currency,gross_r_multiple,net_r_multiple,mfe_r_multiple,mae_r_multiple,realized_r,cost,entry_context_age_bars,entry_macro_context_age_bars,entry_laggard_gap,signal_strength,entry_relay_score,trade_id,signal_timestamp,entry_timestamp,exit_timestamp,raw_entry_price,raw_exit_price,position_size,entry_cost,exit_cost,holding_cost,total_cost,entry_turnover,exit_turnover,holding_turnover,total_turnover,trade_r,gross_trade_r,total_cost_r,max_favorable_r,max_adverse_r,time_to_mfe,time_to_mae,risk_distance,risk_distance_source,cost_component_reconciliation,return_unit,r_multiple_unit,currency_pnl_available
ETHUSD,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,long,,,2809.1,2804.1,,,position_exit,24,-0.001779929514791334,-0.001979314381474806,0.00019938486668347188,,,,-0.27163199723794745,-0.3021536549755922,0.3123767968236396,-2.156758058069293,,,,,,,,0,2022-03-18 00:00:00,2022-03-18 00:00:00,2022-03-18 12:00:00,2809.1,2804.1,1.0,0.0001,9.938486668347188e-05,0.0,0.00019938486668347188,1.0,1.0,0.0,2.0,-0.3021536549755922,-0.27163199723794745,0.03052165773764473,0.3123767968236396,-2.156758058069293,17,1,18.407257064122824,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,short,,,3049.5,3099.45,,,position_exit,24,-0.01677584747175176,-0.016971814464463608,0.00019596699271184903,,,,-2.490193451772782,-2.5205992372830166,2.260866327085002,-4.005746623622516,,,,,,,,1,2022-03-24 05:30:00,2022-03-24 05:30:00,2022-03-24 17:30:00,3049.5,3099.45,1.0,0.0001,9.596699271184903e-05,0.0,0.00019596699271184903,1.0,1.0,0.0,2.0,-2.5205992372830166,-2.490193451772782,0.03040578551023474,2.260866327085002,-4.005746623622516,16,20,20.058682575219265,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-25 18:00:00,2022-03-25 18:00:00,2022-03-26 07:00:00,short,,,3125.0,3120.15,,,position_exit,24,0.001236421651939823,0.001036251670329058,0.00020016998161076494,,,,0.24281646211493743,0.2115256809145583,2.080211134201213,-0.4080317868529483,,,,,,,,2,2022-03-25 18:00:00,2022-03-25 18:00:00,2022-03-26 07:00:00,3125.0,3120.15,1.0,0.0001,0.00010016998161076493,0.0,0.00020016998161076494,1.0,1.0,0.0,2.0,0.2115256809145583,0.24281646211493743,0.03129078120037912,2.080211134201213,-0.4080317868529483,3,22,19.973934047783615,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,long,,,3380.3,3390.8500000000004,,,reversal,24,0.003121024761115976,0.0029208542905958534,0.00020017047052012238,,,,0.6361814601860369,0.5954139873923531,3.147741442816155,-3.7899530590229347,,,,,,,,3,2022-03-28 13:30:00,2022-03-28 13:30:00,2022-03-29 01:30:00,3380.3,3390.8500000000004,1.0,0.0001,0.00010017047052012237,0.0,0.00020017047052012238,1.0,1.0,0.0,2.0,0.5954139873923531,0.6361814601860369,0.04076747279368386,3.147741442816155,-3.7899530590229347,12,20,16.583318848862827,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,short,,,3390.8500000000004,3445.45,,,position_exit,24,-0.016144767156005657,-0.016341152932975667,0.00019638577697000947,,,,-2.703086408307,-2.7366606227671024,1.081729634093581,-4.576929275604106,,,,,,,,4,2022-03-29 01:30:00,2022-03-29 01:30:00,2022-03-29 13:30:00,3390.8500000000004,3445.45,1.0,0.0001,9.638577697000947e-05,0.0,0.00019638577697000947,1.0,1.0,0.0,2.0,-2.7366606227671024,-2.703086408307,0.033574214460102135,1.081729634093581,-4.576929275604106,3,21,20.199132307500516,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,short,,,3413.3,3391.65,,,position_exit,24,0.005836750693178461,0.005635550367325326,0.00020120032585313474,,,,1.0205616069919488,0.9883816260852919,2.9768344333275465,-1.623942141379783,,,,,,,,5,2022-03-30 11:00:00,2022-03-30 11:00:00,2022-03-30 23:00:00,3413.3,3391.65,1.0,0.0001,0.00010120032585313474,0.0,0.00020120032585313474,1.0,1.0,0.0,2.0,0.9883816260852919,1.0205616069919488,0.03217998090665685,2.9768344333275465,-1.623942141379783,8,14,21.213809976462194,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-03 06:00:00,2022-04-03 06:00:00,2022-04-03 18:00:00,short,,,3502.35,3496.9,,,position_exit,24,0.0013701430416444005,0.0011697929798717421,0.00020035006177265835,,,,0.24403096362830656,0.2126664922351459,1.3612002374863834,-0.7970185601071644,,,,,,,,6,2022-04-03 06:00:00,2022-04-03 06:00:00,2022-04-03 18:00:00,3502.35,3496.9,1.0,0.0001,0.00010035006177265835,0.0,0.00020035006177265835,1.0,1.0,0.0,2.0,0.2126664922351459,0.24403096362830656,0.03136447139316066,1.3612002374863834,-0.7970185601071644,6,18,22.333231484103525,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-04 15:30:00,2022-04-04 15:30:00,2022-04-05 03:30:00,long,,,3425.2,3524.6,,,position_exit,24,0.029020203199813244,0.028814425505225838,0.0002057776945874057,,,,4.725960159626116,4.693390021318769,5.790965266020737,-0.7583406895979439,,,,,,,,7,2022-04-04 15:30:00,2022-04-04 15:30:00,2022-04-05 03:30:00,3425.2,3524.6,1.0,0.0001,0.00010577769458740569,0.0,0.0002057776945874057,1.0,1.0,0.0,2.0,4.693390021318769,4.725960159626116,0.03257013830734679,5.790965266020737,-0.7583406895979439,14,5,21.032763003203968,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-07 19:00:00,2022-04-07 19:00:00,2022-04-08 07:00:00,short,,,3224.65,3250.65,,,position_exit,24,-0.008281692376641114,-0.008479526347958122,0.00019783397131700742,,,,-1.0156900088386542,-1.040884199507897,1.0098302587876584,-2.0118475175073343,,,,,,,,8,2022-04-07 19:00:00,2022-04-07 19:00:00,2022-04-08 07:00:00,3224.65,3250.65,1.0,0.0001,9.783397131700741e-05,0.0,0.00019783397131700742,1.0,1.0,0.0,2.0,-1.040884199507897,-1.0156900088386542,0.02519419066924282,1.0098302587876584,-2.0118475175073343,4,15,25.598361482090926,atr_48,0.0,fractional_return,R,False
ETHUSD,2022-04-11 18:00:00,2022-04-11 18:00:00,2022-04-12 06:00:00,short,,,3025.9,3015.8,,,position_exit,24,0.002765569099012044,0.0025651503800907527,0.00020041871892129137,,,,0.491677245686939,0.4622165292963623,3.6754091137984384,-0.6912689988865849,,,,,,,,9,2022-04-11 18:00:00,2022-04-11 18:00:00,2022-04-12 06:00:00,3025.9,3015.8,1.0,0.0001,0.00010041871892129137,0.0,0.00020041871892129137,1.0,1.0,0.0,2.0,0.4622165292963623,0.491677245686939,0.029460716390576677,3.6754091137984384,-0.6912689988865849,7,2,20.541930887789725,atr_48,0.0,fractional_return,R,False
